Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts,Component Link,Open Hub URL
,efa081c1-1736-4892-946f-518219cbc17e,a3f603f3-76df-4480-b635-29d1dd678933,Http Service Registry Extensions,1.1.300.v20130402-1529,1.1.300.v20130402-1529,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,OK,In Violation,,12/8/22,unknown,,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/2/13,0,,,,,,,,964108d7-a019-4a9f-9bd5-25651ad1cae3,false,http://repo1.maven.org/maven2/org/eclipse/equinox/http/registry/,
,16ef1e96-3723-48ce-8460-84dbe616521f,7dba5d12-448e-4227-b4e6-c16d75942d03,Http Services Servlet,1.1.500,1.1.500,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,unknown,,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/18/14,17,,,,,,,,964c0d48-77ea-4c07-9d1f-c59e44b309f2,false,http://www.eclipse.org/equinox/server/,
,76594c40-b3f1-4c06-9260-5d7a4f8d33ce,2c370cb0-2bb9-434d-ab72-92afcd7b119c,Internet Connection Management UI,1.2.200,1.2.200.v20120807-0927,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.ui.net/1.2.200.v20120807-0927,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/7/12,11,,,,,,,,94be6503-ab29-4917-b562-82df5d57c690,false,,
,4d28ef2b-d443-47e6-a252-8deb6f774856,a364cf47-2e2a-4292-9635-0c7cdb230bc3,JAXP XML,1.3.4-v201005080400,1.3.4-v201005080400,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/8/22,maven,javax:xml:1.3.4-v201005080400,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/11/13,0,,,,,,,,5e60a5e8-46e7-4b4b-b10e-15865e0ba342,false,http://maven.irisa.fr/artifactory/list/kermeta-public-release/javax/xml/,
,7346ca6c-1c2b-4a68-8450-d62f125b6d87,f0984e85-2080-418b-afa7-488f16c5f06f,JFace Data Binding,1.4.2,1.4.2.v20140729-1044,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.core.databinding/1.4.2.v20140729-1044,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/29/14,15,,,,,,,,a4d2fcb6-c1c1-4e99-b88f-af5d73308eb8,false,,
,084f1383-227d-4b09-9871-8c49bedbfdf2,8e45b51e-d195-4a82-94a2-100ca099acdc,JFace Data Binding,1.4.200,1.4.200.v20140214-0004,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.core.databinding.property/1.4.200.v20140214-0004,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/15/13,12,,,,,,,,238acdfa-1b05-44ec-b247-aefcea610056,false,,
,00e99c72-6e93-42e9-9457-a9d50ee2af37,65204cba-4253-4aa1-8eca-ca04369a3af2,JFace Data Binding Observables,1.4.1,1.4.1.v20140210-1835,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.core.databinding.observable/1.4.1.v20140210-1835,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/21/12,12,,,,,,,,b8c0cc21-c33f-497e-ae08-9e197eb5c50b,false,,
,1f4b5fed-107d-45c1-bf25-9ae27ea59edd,f71dc1cb-6f3b-4753-b3a9-3e26f79e8ab9,JFace Data Binding for JavaBeans,1.2.200,1.2.200.v20140214-0004,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.core.databinding.beans/1.2.200.v20140214-0004,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/23/12,15,,,,,,,,bc32a90e-f609-4a13-badb-492ecbdd2ebc,false,,
,f7153ccb-8325-4bae-9975-c5d0c0a5548d,7e5bdf07-e04b-4b21-ade0-cbc62acfed18,JFace Data Binding for SWT and JFace,1.6.200,1.6.200.v20140528-1422,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.jface.databinding/1.6.200.v20140528-1422,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/15/13,17,,,,,,,,908341aa-806f-4131-ab54-81bfa391cc0d,false,,
,13874193-3405-46d0-aae8-9ca487bc4f24,75a07dd7-be32-4c11-b0fb-eb251d85614c,Jakarta Mail,1.4.6,1.4.6,"dd002c7d-e70a-479f-8af4-798e1b2bbd2d,9b7eb3ce-d64b-4e3e-a6b7-55d4dc798e68",(GNU General Public License v2.0 w/Classpath exception OR Common Development and Distribution License 1.1),"WEAK_RECIPROCAL,RECIPROCAL",Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,"maven, unknown","javax.mail:javax.mail-api:1.4.6, ",NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/7/13,37,STABLE,0,0,,,,,"e7474a10-6f2b-4eba-9c63-640e363ea0b2, 5bdb1880-2b43-437a-bc08-c9ba1255692b",false,https://javaee.github.io/javamail/,
,dd8e9058-29f2-459e-ad12-59883ed413a5,59e41333-6570-42f1-af40-69f5273e1bd2,Jasper Jsp Registry Support Plug-in,1.0.300,1.0.300,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,maven,org.eclipse.platform:org.eclipse.equinox.jsp.jasper.registry:1.0.300,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/30/17,7,,,,,,,,badab0ce-c4ef-4c0a-8953-7743b302e1fe,false,http://www.eclipse.org/platform,
,2165baf7-bb9f-47f7-941c-ec73746e5f4f,98f0b97e-6acc-4969-b347-addc2a1c9ff1,Java Development Tools Core,3.8.2,3.8.2.v20120814-155456,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.jdt.core/3.8.2.v20120814-155456,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,2,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/14/12,80,,,,,,,,b5707a40-29ae-4c0b-9fb0-dcd5e0535d1a,false,http://www.eclipse.org,
